{'artist': 'Dick Dale', 'song': "It's Beginning to Look a Lot Like Christmas", 'genre': 'Holiday', 'alternative_artist': 'Dick Dale', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'You Make It Feel Like Christmas (feat. Blake Shelton)', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Santa Baby', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Jingle Bells', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'When I Was a Little Girl', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'My Gift Is You', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Last Christmas', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Let It Snow', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'White Christmas', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Under the Christmas Lights', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Christmas Eve', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Gwen Stefani', 'song': 'Never Kissed Anyone With Blue Eyes Before You', 'genre': 'Holiday', 'alternative_artist': 'Gwen Stefani', 'add_to_final_records': True}
{'artist': 'Good Charlotte', 'song': 'Last Christmas', 'genre': 'Holiday', 'alternative_artist': 'Good Charlotte', 'add_to_final_records': True}
{'artist': 'Good Charlotte', 'song': 'Christmas by the Phone', 'genre': 'Holiday', 'alternative_artist': 'Good Charlotte', 'add_to_final_records': True}
{'artist': 'Tara MacLean', 'song': 'Winter Wonderland', 'genre': 'Holiday', 'alternative_artist': 'Tara MacLean', 'add_to_final_records': True}
{'artist': 'Dara Maclean', 'song': 'Bethlehem Skies (feat. Dave Barnes)', 'genre': 'Holiday', 'alternative_artist': 'Tara MacLean', 'add_to_final_records': True}
{'artist': 'The Lighter Side', 'song': 'White Christmas With You (feat. Dara Maclean & Cody Carnes)', 'genre': 'Holiday', 'alternative_artist': 'Tara MacLean', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'O Holy Night', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'This Is the Time (Duet With Wynonna)', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Ave Maria (Duet With Placido Domingo)', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Santa Claus Is Coming to Town', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'The Christmas Song', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Joy to the World', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'White Christmas', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Have Yourself a Merry Little Christmas', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'Michael Bolton', 'song': 'Santa Clause Is Coming to Town', 'genre': 'Holiday', 'alternative_artist': 'Michael Bolton', 'add_to_final_records': True}
{'artist': 'The Hives & Cyndi Lauper', 'song': 'A Christmas Duel', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper & Norah Jones', 'song': 'Home for the Holidays', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Feels Like Christmas', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Christmas Conga', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': "Rockin' Around the Christmas Tree", 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Three Ships', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Home On Christmas Day', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'Minnie and Santa', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Cyndi Lauper', 'song': 'In the Bleak Midwinter', 'genre': 'Holiday', 'alternative_artist': 'Cyndi Lauper', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'Ave Maria', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'Winter Wonderland', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': "Baby's First Christmas", 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'Adeste Fidelis', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': "I'll Be Home For Christmas", 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'The First Noel', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'The Twelve Days Of Christmas', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'Silent Night! Holy Night!', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': "The Lord's Prayer", 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': 'The Christmas Song (Chestnuts Roasting On An Open Fire)', 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': "It's a Great Day for the Irish", 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Connie Francis', 'song': "Mc Namara's Band", 'genre': 'Holiday', 'alternative_artist': 'Connie Francis', 'add_to_final_records': True}
{'artist': 'Selena Gomez & The Scene', 'song': 'Winter Wonderland', 'genre': 'Holiday', 'alternative_artist': 'Selena Gomez', 'add_to_final_records': True}
{'artist': 'Wyclef Jean', 'song': 'Little Drummer Boy / Hot Hot Hot', 'genre': 'Holiday', 'alternative_artist': 'Hot Boys', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw & Erin Kershaw', 'song': 'Up On the Housetop', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': "Christmas Time's a Comin'", 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Daddy Stuff', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Winter Wonderland', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': "Christmas Won't Be Christmas (Without You Here)", 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Please Come Home for Christmas', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
