{'artist': 'Faster Pussycat', 'song': 'Arizona Indian Doll', 'genre': 'Metal', 'alternative_artist': 'The Pussycat Dolls', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'All Out Life', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Psychosocial', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Duality', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Devil In I', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Before I Forget', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Wait and Bleed', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Snuff', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Dead Memories', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Killpop', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Negative One', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Custer', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'XIX', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The One That Kills the Least', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'AOV', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Sarcastrophe', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Spit It Out', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Skeptic', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Override', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Nomadic', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'If Rain Is What You Want', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Lech', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Burden', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Be Prepared For Hell', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Vermilion', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Goodbye', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': '(Sic)', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Surfacing', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Sulfur', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Vermilion, Pt. 2', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Prosthetics', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Eyeless', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Eeyore', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Only One', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Scissors', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'No Life', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Liberate', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Diluted', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Circle', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Tattered & Torn', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': '742617000027', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Blister Exists', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Pulse of the Maggots', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Me Inside', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Drum Solo', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Danger - Keep Away', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': "Butcher's Hook", 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'All Hope Is Gone', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Prelude 3.0', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Three Nil', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'This Cold Black', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Nameless', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Welcome', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Opium of the People', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'The Virus of Life', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': '.Execute.', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Vendetta', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Wherein Lies Continue', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
{'artist': 'Slipknot', 'song': 'Gehenna', 'genre': 'Metal', 'alternative_artist': 'Slipknot', 'add_to_final_records': True}
